bayes,locus,p.value,adj.p.value
0.5,Rv3707c-asd,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1590,1.1707487982515197e-5,2.3755309918010488e-4
0.5,ptpA,1.1707487982515197e-5,2.3755309918010488e-4
0.5,35kd_ag-clgR,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0293c-tam,1.1707487982515197e-5,2.3755309918010488e-4
0.5,whiB4,1.1707487982515197e-5,2.3755309918010488e-4
0.5,upp-sapM,1.1707487982515197e-5,2.3755309918010488e-4
0.5,cyp130-Rv1257c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1060-Rv1061,1.1707487982515197e-5,2.3755309918010488e-4
0.5,pstB-pstS1,1.1707487982515197e-5,2.3755309918010488e-4
0.5,fhaB-fhaA,1.1707487982515197e-5,2.3755309918010488e-4
0.5,cyp121-Rv2277c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv3190A-Rv3191c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,esxK-esxL,1.1707487982515197e-5,2.3755309918010488e-4
0.5,lprJ,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1115,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0275c-Rv0276,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1828-Rv1829,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0625c-vapB5,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0364,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0611c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,menA-pnp,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1489A-Rv1490,1.1707487982515197e-5,2.3755309918010488e-4
0.5,parD2-Rv2143,1.1707487982515197e-5,2.3755309918010488e-4
0.5,ligC-Rv3732,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv0600c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2001-fabG3,1.1707487982515197e-5,2.3755309918010488e-4
0.5,PE_PGRS33-bacA,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv3365c-spoU,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv3742c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2466c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,PPE44-Rv2771c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv2273,1.1707487982515197e-5,2.3755309918010488e-4
0.5,Rv1645c-PE17,1.1707487982515197e-5,2.3755309918010488e-4
0.5,ssr-Rv3099c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,hpx-Rv3172c,1.1707487982515197e-5,2.3755309918010488e-4
0.5,vapC13,1.1707487982515197e-5,2.3755309918010488e-4
