background,strain,rep,isolate,sample,assay,ic50,fitness,auc,ic50.fc,ic50.log2.fc
wt,L9,b,wt-L9,wt-L9-b,2,462.44,0.5974424749252756,17.588244473684206,160.29116117850955,7.324551063953994
ohrR,anc,b,ohrR-anc,ohrR-anc-b,2,9.8,1.1163586524249338,32.864735473684206,3.3968804159445414,1.7642104303570885
ohrR,s6,b,ohrR-s6,ohrR-s6-b,2,673.59,0.9525638270628723,28.042742473684218,233.48006932409015,7.867155591467572
ohrR,s9,b,ohrR-s9,ohrR-s9-b,2,1276.01,1.0376202051906815,30.54673647368421,442.2911611785096,8.788852601237275
ohrR,s8,b,ohrR-s8,ohrR-s8-b,2,570.0600000000001,0.957081625755356,28.17574297368421,197.59445407279034,7.62639864482502
ohrR,s7,b,ohrR-s7,ohrR-s7-b,2,792.47,0.9944297704712444,29.275243473684213,274.6863084922011,8.101641192060816
ohrR,s10,b,ohrR-s10,ohrR-s10-b,2,667.13,0.9660319967169688,28.439234973684208,231.24090121317158,7.853252789856059
ohrR,L6,b,ohrR-L6,ohrR-L6-b,2,2000,0.9873130074541151,29.065731473684213,693.2409012131716,9.437212965791328
ohrR,L7,b,ohrR-L7,ohrR-L7-b,2,1476.43,0.980128749457629,28.854232473684217,511.76083188908154,8.999325923315114
ohrR,L8,b,ohrR-L8,ohrR-L8-b,2,686.0600000000001,0.936361210585305,27.56574997368421,237.80242634315428,7.893619625023887
ohrR,L9,b,ohrR-L9,ohrR-L9-b,2,752.86,0.975967770599395,28.73173647368421,260.9566724436742,8.027666480709321
ohrR,L10,b,ohrR-L10,ohrR-L10-b,2,701.01,1.0839868952132097,31.911735973684202,242.9844020797227,7.9247198955214735
wt,anc,a,wt-anc,wt-anc-a,3,2.79,1.0339490928750683,29.717313245614037,0.9102773246329529,-0.13562195186159368
wt,s10,a,wt-s10,wt-s10-a,3,25.680000000000003,0.7329564180483034,21.066313245614033,8.61744966442953,3.107260966660142
wt,s11,a,wt-s11,wt-s11-a,3,3.88,1.0750742046130448,30.899313245614035,1.3020134228187918,0.380744321724966
wt,s12,a,wt-s12,wt-s12-a,3,73.76,1.015856827135857,29.19731324561404,24.751677852348994,4.6294544199671765
wt,L6,a,wt-L6,wt-L6-a,3,48.22,0.9175671142257181,26.372313245614038,16.714038128249566,4.062988426957044
wt,L7,a,wt-L7,wt-L7-a,3,166.53,0.6766790337537372,19.448813245614033,57.722703639514734,5.851066969837256
wt,L8,a,wt-L8,wt-L8-a,3,184.81,0.6660324312225857,19.14281324561403,64.05892547660312,6.001327693459254
wt,L9,a,wt-L9,wt-L9-a,3,132.22,0.6311004412184162,18.138813245614035,45.83015597920278,5.5182252907030005
ohrR,anc,a,ohrR-anc,ohrR-anc-a,3,7.37,1.143598661100308,32.868813245614035,2.5545927209705375,1.3530933004495873
ohrR,s11,a,ohrR-s11,ohrR-s11-a,3,538.88,1.0502321320403585,30.18531324561404,180.83221476510067,7.498507902604235
ohrR,s12,a,ohrR-s12,ohrR-s12-a,3,670.89,1.063801331344767,30.575313245614037,225.13087248322148,7.814620098741024
ohrR,L11,a,ohrR-L11,ohrR-L11-a,3,489.93,0.9453839727997557,27.17181324561404,164.40604026845637,7.361119494300798
ohrR,L12,a,ohrR-L12,ohrR-L12-a,3,546.32,1.0316875596576667,29.65231324561403,183.3288590604027,7.518290098108297
mfs1,anc,a,mfs1-anc,mfs1-anc-a,3,4.17,0.9643634554165628,27.717313245614033,1.3408360128617363,0.423132803314061
mfs1,s2,a,mfs1-s2,mfs1-s2-a,3,54.38,0.8850010358951373,25.43631324561403,18.248322147651006,4.189691915562598
mfs1,s3,a,mfs1-s3,mfs1-s3-a,3,30.01,0.9773411768025743,28.09031324561404,10.070469798657719,3.332059083136127
mfs1,s4,a,mfs1-s4,mfs1-s4-a,3,38.87,0.9669903132306213,27.792813245614035,13.043624161073824,3.7052728718770354
mfs1,s5,a,mfs1-s5,mfs1-s5-a,3,86.37,0.8234699359724543,23.667813245614038,28.983221476510067,4.857146053822429
mfs1,s6,a,mfs1-s6,mfs1-s6-a,3,140.82999999999998,0.7136638000629327,20.511813245614032,47.25838926174496,5.562498552728658
mfs1,L1,a,mfs1-L1,mfs1-L1-a,3,208.92,0.9134093723875725,26.25281324561404,70.10738255033557,6.131494467910096
mfs1,L2,a,mfs1-L2,mfs1-L2-a,3,171.25,1.116025352257375,32.07631324561403,57.466442953020135,5.844647847160452
mfs1,L3,a,mfs1-L3,mfs1-L3-a,3,810.12,0.7799789125608882,22.41781324561403,271.8523489932886,8.08667948385272
wt,anc,b,wt-anc,wt-anc-b,3,3.17,0.9660509071249318,27.76581324561404,1.0342577487765092,0.0485957664486261
wt,s10,b,wt-s10,wt-s10-b,3,130.88,0.6456090466285146,18.555813245614036,43.91946308724832,5.456788512479587
wt,s11,b,wt-s11,wt-s11-b,3,4.29,1.0068802799037098,28.939313245614038,1.4395973154362416,0.525665317037384
wt,s12,b,wt-s12,wt-s12-b,3,162.26,0.9759842568721333,28.051313245614036,54.4496644295302,5.7668512526019144
wt,L6,b,wt-L6,wt-L6-b,3,200.54,0.8321507442454026,23.917313245614032,69.51126516464471,6.119174898337339
wt,L7,b,wt-L7,wt-L7-b,3,1747.48,0.6474008767930709,18.60731324561403,605.7123050259966,9.242488909766328
wt,L8,b,wt-L8,wt-L8-b,3,1274.28,0.6524806283275418,18.75331324561403,441.6915077989602,8.78689528438031
wt,L9,b,wt-L9,wt-L9-b,3,1551.26,0.6022745909012304,17.310313245614033,537.6984402079723,9.070653476326758
ohrR,anc,b,ohrR-anc,ohrR-anc-b,3,15.43,1.0329574975412845,29.68881324561404,5.348353552859619,2.4190948379252526
ohrR,s11,b,ohrR-s11,ohrR-s11-b,3,2000,0.9923542780842467,28.521813245614037,671.1409395973154,9.39047195397465
ohrR,s12,b,ohrR-s12,ohrR-s12-b,3,2000,0.9732530206018869,27.972813245614034,671.1409395973154,9.39047195397465
ohrR,L11,b,ohrR-L11,ohrR-L11-b,3,2000,0.9832907488052762,28.261313245614033,671.1409395973154,9.39047195397465
ohrR,L12,b,ohrR-L12,ohrR-L12-b,3,2000,1.0189185951840312,29.28531324561404,671.1409395973154,9.39047195397465
mfs1,anc,b,mfs1-anc,mfs1-anc-b,3,4.37,1.050058167946712,30.180313245614034,1.4051446945337622,0.490718699369996
mfs1,s2,b,mfs1-s2,mfs1-s2-b,3,187.21,0.92189882015751,26.496813245614035,62.822147651006716,5.973201358993046
mfs1,s3,b,mfs1-s3,mfs1-s3-b,3,114.37,0.9731834349644283,27.970813245614032,38.37919463087248,5.262252532469711
mfs1,s4,b,mfs1-s4,mfs1-s4-b,3,132.93,0.9108694966203364,26.179813245614024,44.60738255033557,5.47921059174494
mfs1,s5,b,mfs1-s5,mfs1-s5-b,3,264.27,0.8040903359402602,23.11081324561403,88.68120805369126,6.470556518240964
mfs1,s6,b,mfs1-s6,mfs1-s6-b,3,570.78,0.6826112093470748,19.619313245614034,191.53691275167785,7.58147864308399
mfs1,L1,b,mfs1-L1,mfs1-L1-b,3,850.16,0.9107303253454196,26.17581324561403,285.2885906040268,8.156278240907014
mfs1,L2,b,mfs1-L2,mfs1-L2-b,3,197.32999999999998,1.0766746742745905,30.945313245614038,66.21812080536913,6.049154164165865
mfs1,L3,b,mfs1-L3,mfs1-L3-b,3,604.34,0.7727420062652037,22.209813245614033,202.7986577181208,7.663904293250992
wt,anc,a,wt-anc,wt-anc-a,4,3.19,0.9628499560571857,31.010729736842094,1.0407830342577489,0.05766935007408801
mfs1,anc,a,mfs1-anc,mfs1-anc-a,4,4.08,0.9017146142072894,29.041729736842107,1.3118971061093248,0.39165457184089303
mfs1,s1,a,mfs1-s1,mfs1-s1-a,4,78.03,0.41727369434288436,13.439229736842105,23.789634146341466,4.5722611800460635
mfs1,L4,a,mfs1-L4,mfs1-L4-a,4,188.47,0.5671313517519887,18.265729736842104,57.46036585365854,5.844495273514474
ntaA,anc,a,ntaA-anc,ntaA-anc-a,4,3.9099999999999997,0.8810981251324637,28.377729736842102,1.1920731707317074,0.25347279268926864
ntaA,s1,a,ntaA-s1,ntaA-s1-a,4,11.08,0.8230521517508582,26.508229736842114,3.378048780487805,1.7561901614311048
ntaA,s2,a,ntaA-s2,ntaA-s2-a,4,41.01,0.7690425391820945,24.768729736842108,12.503048780487806,3.6442080237091328
ntaA,s3,a,ntaA-s3,ntaA-s3-a,4,80.10000000000001,0.7387543086211121,23.793229736842104,24.420731707317078,4.610034522677989
ntaA,s4,a,ntaA-s4,ntaA-s4-a,4,24.37,0.8693305809165617,27.998729736842098,7.4298780487804885,2.893338531105257
ntaA,s5,a,ntaA-s5,ntaA-s5-a,4,62.089999999999996,0.44886597993570815,14.456729736842107,18.929878048780488,4.2425932117405845
ntaA,s6,a,ntaA-s6,ntaA-s6-a,4,115.01,0.4422836069178422,14.244729736842107,35.06402439024391,5.131919682389595
ntaA,s7,a,ntaA-s7,ntaA-s7-a,4,10.34,0.8085212528246256,26.040229736842107,3.1524390243902443,1.6564684656968511
ntaA,s8,a,ntaA-s8,ntaA-s8-a,4,339.21,0.3105119508432044,10.000729736842104,103.41768292682927,6.692339076488586
ntaA,L1,a,ntaA-L1,ntaA-L1-a,4,90.66000000000001,0.7196281681541052,23.1772297368421,27.64024390243903,4.7886984412679015
ntaA,L2,a,ntaA-L2,ntaA-L2-a,4,154.46,0.7315975304106495,23.56272973684211,47.09146341463415,5.557393651422241
wt,anc,b,wt-anc,wt-anc-b,4,3.3699999999999997,1.0371500439428145,33.4037297368421,1.099510603588907,0.13686151749107703
mfs1,anc,b,mfs1-anc,mfs1-anc-b,4,4.71,0.8658065274376573,27.885229736842106,1.5144694533762058,0.5988124794821806
mfs1,s1,b,mfs1-s1,mfs1-s1-b,4,464.14,0.4427338163931207,14.259229736842105,141.5060975609756,7.144720410545286
mfs1,L4,b,mfs1-L4,mfs1-L4-b,4,510.4,0.5709503700595242,18.388729736842105,155.609756097561,7.281788704034148
ntaA,anc,b,ntaA-anc,ntaA-anc-b,4,3.94,0.943180459326912,30.377229736842104,1.201219512195122,0.26449981483829255
ntaA,s1,b,ntaA-s1,ntaA-s1-b,4,22.19,0.8659307231549754,27.889229736842104,6.765243902439026,2.758141947578928
ntaA,s2,b,ntaA-s2,ntaA-s2-b,4,102.67,0.792034271350631,25.5092297368421,31.301829268292686,4.968175065118082
ntaA,s3,b,ntaA-s3,ntaA-s3-b,4,255.87,0.7566695408442662,24.370229736842106,78.00914634146342,6.285571380501756
ntaA,s4,b,ntaA-s4,ntaA-s4-b,4,78.4,0.8597519862183938,27.690229736842106,23.902439024390247,4.579085934384487
ntaA,s5,b,ntaA-s5,ntaA-s5-b,4,261.83,0.40612712871357354,13.080229736842103,79.82621951219512,6.318790783030455
ntaA,s6,b,ntaA-s6,ntaA-s6-b,4,634.01,0.4127250261961044,13.292729736842107,193.2957317073171,7.594665970558876
ntaA,s7,b,ntaA-s7,ntaA-s7-b,4,17.73,0.7770065895551258,25.025229736842107,5.4054878048780495,2.4344248162806053
ntaA,s8,b,ntaA-s8,ntaA-s8-b,4,697.29,0.2698844268154798,8.692229736842105,212.58841463414635,7.73191916667531
ntaA,L1,b,ntaA-L1,ntaA-L1-b,4,112.25000000000001,0.6772308551545958,21.8117297368421,34.22256097560976,5.096875819897788
ntaA,L2,b,ntaA-L2,ntaA-L2-b,4,128,0.7138530672988077,22.9912297368421,39.02439024390244,5.286304185156641
wt,anc,a,wt-anc,wt-anc-a,5,3.08,1.056187518284519,43.10120891150169,1.00489396411093,0.007043277004120092
