plate,strain,replicate,isoniazid,cfus,rfus,exp,rep.label,rfus.per.cfu,inh.label,fc
3,wj-wt,y,0,8000000,18103.64285714286,3,wj-wt-y,0.002262955357142857,"0 µg/mL
isoniazid",0.9048185996697755
3,wj-wt,z,0,8000000,16752.35714285714,3,wj-wt-z,0.0020940446428571427,"0 µg/mL
isoniazid",0.8372814494176447
3,mshA-ko,w,0,8000000,23944.785714285714,3,mshA-ko-w,0.002993098214285714,"0 µg/mL
isoniazid",1.1967584452675264
3,mshA-ko,x,0,8000000,21140.214285714286,3,mshA-ko-x,0.002642526785714286,"0 µg/mL
isoniazid",1.0565861930474363
3,mshA-ko,y,0,8000000,20573.5,3,mshA-ko-y,0.0025716875,"0 µg/mL
isoniazid",1.028261859074479
3,mshA-ko,z,0,8000000,21424.5,3,mshA-ko-z,0.0026780625,"0 µg/mL
isoniazid",1.0707947699584988
3,mshA-comp,w,0,6000000,16177.92857142857,3,mshA-comp-w,0.0026963214285714286,"0 µg/mL
isoniazid",1.0780954080949618
3,mshA-comp,x,0,6000000,13024.92857142857,3,mshA-comp-x,0.0021708214285714286,"0 µg/mL
isoniazid",0.8679798295327771
3,mshA-comp,y,0,6000000,13833.92857142857,3,mshA-comp-y,0.002305654761904762,"0 µg/mL
isoniazid",0.9218915019263094
3,mshA-comp,z,0,6000000,12162.357142857143,3,mshA-comp-z,0.002027059523809524,"0 µg/mL
isoniazid",0.8104981629404853
