sample,time.point,percent.survival,isolate
ohrR-a-4,24,92.55813953488371,ohrR
ohrR-a-4,30,19.53488372093023,ohrR
ohrR-a-4,48,15.162790697674417,ohrR
ohrR-a-4,72,71727.77434853691,ohrR
ohrR-b-1,0,100,ohrR
ohrR-b-1,6,583.3333333333333,ohrR
ohrR-b-1,24,19.946666666666665,ohrR
ohrR-b-1,30,157.86666666666667,ohrR
ohrR-b-1,48,2691.2420071913134,ohrR
ohrR-b-1,72,627.0424836601308,ohrR
ohrR-b-2,0,100,ohrR
ohrR-b-2,6,3637.2453928225027,ohrR
ohrR-b-2,24,309.1658583899127,ohrR
ohrR-b-2,30,28.451341739411575,ohrR
ohrR-b-2,48,154.31619786614937,ohrR
ohrR-b-2,72,512.2453928225024,ohrR
ohrR-b-3,0,100,ohrR
ohrR-b-3,6,535.7142857142857,ohrR
ohrR-b-3,24,28.57142857142857,ohrR
ohrR-b-3,30,30.333333333333336,ohrR
ohrR-b-3,48,6.666666666666667,ohrR
ohrR-b-3,72,922.6190476190476,ohrR
ohrR-b-4,0,100,ohrR
ohrR-b-4,6,3052.325581395349,ohrR
ohrR-b-4,24,328.7790697674419,ohrR
ohrR-b-4,30,136.046511627907,ohrR
ohrR-b-4,48,14.895348837209305,ohrR
ohrR-b-4,72,1279.0697674418607,ohrR
ohrR-c-1,0,100,ohrR
ohrR-c-1,6,5787.037037037037,ohrR
ohrR-c-1,24,48.971193415637856,ohrR
ohrR-c-1,30,31.54320987654321,ohrR
ohrR-c-1,48,6.530864197530864,ohrR
ohrR-c-1,72,17065.753582372425,ohrR
ohrR-c-2,0,100,ohrR
ohrR-c-2,6,1487.0689655172414,ohrR
ohrR-c-2,24,416.89655172413796,ohrR
ohrR-c-2,30,12.96551724137931,ohrR
ohrR-c-2,48,41.793103448275865,ohrR
ohrR-c-2,72,45719.957453124225,ohrR
ohrR-c-3,0,100,ohrR
ohrR-c-3,6,420.73170731707313,ohrR
ohrR-c-3,24,63.414634146341456,ohrR
ohrR-c-3,30,19.865853658536583,ohrR
ohrR-c-3,48,12.804878048780488,ohrR
ohrR-c-3,72,333.8414634146341,ohrR
ohrR-c-4,0,100,ohrR
ohrR-c-4,6,133771.9298245614,ohrR
ohrR-c-4,24,36241.27966976264,ohrR
ohrR-c-4,30,1815.7894736842106,ohrR
ohrR-c-4,48,1276.4912280701753,ohrR
ohrR-c-4,72,637881.0189030682,ohrR
wt-a-1,0,100,wt
wt-a-1,6,6850.961538461539,wt
wt-a-1,24,2.5846153846153848,wt
