colony.label,r,cs,toa,line,experiment,time.point,treatment,Cluster,colony,strain
C.I.post.plus_201_1,2160.917241997033,30268.38309181759,46.03762291815306,C,I,post,plus,1,201,C_plus_201
C.I.post.plus_203_1,978.9147756616364,11083.657320858829,50.57740725165455,C,I,post,plus,3,203,C_plus_203
C.I.post.plus_204_1,870.6693067452852,10093.929064290196,50.377416752381365,C,I,post,plus,3,204,C_plus_204
C.I.post.plus_205_1,1799.4268848377599,23331.844543438096,47.79753931175716,C,I,post,plus,2,205,C_plus_205
C.I.post.plus_206_1,1803.772023355306,25508.013030945618,45.66764049449765,C,I,post,plus,2,206,C_plus_206
C.I.post.plus_207_1,900.7094953180355,9987.064020978656,51.33737114889269,C,I,post,plus,3,207,C_plus_207
C.I.post.plus_208_1,289.86110381973634,2955.452759936273,52.88729751825994,C,I,post,plus,3,208,C_plus_208
C.I.post.plus_211_1,3638.6581322551992,51118.34555737838,46.4476034416631,C,I,post,plus,1,211,C_plus_211
C.I.post.plus_213_1,2476.4235412551757,34920.75841303843,45.24766044602394,C,I,post,plus,1,213,C_plus_213
C.I.post.plus_215_1,2015.2658246788164,28242.00210986386,46.47760201655409,C,I,post,plus,2,215,C_plus_215
C.I.post.plus_216_1,2378.6972833769355,35189.41197649012,44.167711749948694,C,I,post,plus,1,216,C_plus_216
C.I.post.plus_217_1,1773.218569820621,21504.78739023032,49.62745238010688,C,I,post,plus,2,217,C_plus_217
C.I.post.plus_218_1,800.4102211549218,9252.153281084118,49.767445729598116,C,I,post,plus,3,218,C_plus_218
C.I.post.plus_223_1,1523.520187496907,17378.91728043663,50.69740155121847,C,I,post,plus,2,223,C_plus_223
C.I.post.plus_224_1,2018.078473423561,27198.216876114402,46.607595841081654,C,I,post,plus,2,224,C_plus_224
C.I.post.plus_225_1,1769.503528821416,22097.394732364213,48.42750938446772,C,I,post,plus,2,225,C_plus_225
C.I.post.plus_227_1,1950.225905271916,24711.677429672993,48.317514609867466,C,I,post,plus,2,227,C_plus_227
C.I.post.plus_230_1,1907.3068732068898,23966.644241310416,48.27751651001282,C,I,post,plus,2,230,C_plus_230
C.I.post.plus_231_1,1856.7352041668253,24737.13569971778,47.04757493948268,C,I,post,plus,2,231,C_plus_231
C.I.post.plus_232_1,896.4041532688749,9555.698047830065,51.027385875019235,C,I,post,plus,3,232,C_plus_232
C.I.post.plus_233_1,2197.0659952952456,30339.14469288482,46.057621968080376,C,I,post,plus,1,233,C_plus_233
C.I.post.plus_234_1,1442.0448356861964,16838.47250281446,49.7974443044891,C,I,post,plus,2,234,C_plus_234
A.I.post.plus_2_2,872.5999312830652,9665.493427805932,54.10734001913898,A,I,post,plus,3,2,A_plus_2
A.I.post.plus_3_2,2531.324125532501,28820.36624683519,53.48736839959215,A,I,post,plus,1,3,A_plus_3
A.I.post.plus_4_2,561.2809705796441,5745.399474740613,54.97730019495469,A,I,post,plus,3,4,A_plus_4
A.I.post.plus_5_2,497.7363020319272,5380.206634193871,54.51732125141994,A,I,post,plus,3,5,A_plus_5
A.I.post.plus_6_2,904.497841803886,10890.966546136548,52.74740227303625,A,I,post,plus,3,6,A_plus_6
A.I.post.plus_9_2,294.2258945289446,3088.920923919771,54.9073033991994,A,I,post,plus,3,9,A_plus_9
A.I.post.plus_11_2,925.3611128225198,10146.52319658144,54.37732765990937,A,I,post,plus,3,11,A_plus_11
A.I.post.plus_12_2,631.4537106334539,7823.729722042298,52.30742241400302,A,I,post,plus,3,12,A_plus_12
A.I.post.plus_13_2,450.22570145733476,4813.827331564733,54.67731392743203,A,I,post,plus,3,13,A_plus_13
A.I.post.plus_14_2,690.9559375630434,7987.928396273788,54.157337730392754,A,I,post,plus,3,14,A_plus_14
A.I.post.plus_15_2,307.83279821152297,3372.7077380031124,54.95730111045318,A,I,post,plus,3,15,A_plus_15
A.I.post.plus_16_2,1694.3180012562252,21937.347325277427,51.55745674519638,A,I,post,plus,2,16,A_plus_16
A.I.post.plus_17_2,1108.488328473138,12638.218642511061,53.837352378368585,A,I,post,plus,3,17,A_plus_17
A.I.post.plus_18_2,1906.0884414979178,21461.378060801377,54.077341392386714,A,I,post,plus,3,18,A_plus_18
A.I.post.plus_19_2,1939.0488869081473,22229.509126885783,53.81735329386707,A,I,post,plus,3,19,A_plus_19
A.I.post.plus_20_2,182.70857701439402,1830.1292030174966,56.03725167353475,A,I,post,plus,3,20,A_plus_20
A.I.post.plus_21_2,3307.625925857765,41809.588205192944,52.25742470274925,A,I,post,plus,1,21,A_plus_21
A.I.post.plus_22_2,668.5641587889523,8104.378023004865,52.9173944912991,A,I,post,plus,3,22,A_plus_22
A.I.post.plus_23_2,296.6590068593157,3191.840301951953,54.73731118093656,A,I,post,plus,3,23,A_plus_23
A.I.post.plus_25_2,334.03893248895287,3657.277438936606,54.83730660344411,A,I,post,plus,3,25,A_plus_25
A.I.post.plus_26_2,625.0228499758882,7055.562012639787,54.237334068398795,A,I,post,plus,3,26,A_plus_26
A.I.post.plus_27_2,1820.587780836976,22905.240840735532,52.47741463226586,A,I,post,plus,2,27,A_plus_27
A.I.post.plus_28_2,2394.0364722474287,32703.484707654334,51.29746864667674,A,I,post,plus,1,28,A_plus_28
A.I.post.plus_29_2,360.57344928535235,4046.2187986262006,55.04729699070997,A,I,post,plus,3,29,A_plus_29
A.I.post.plus_30_2,127.42951190847137,1426.4036070539732,54.687313469682785,A,I,post,plus,3,30,A_plus_30
A.I.post.plus_31_2,279.13917225508925,3043.137154998237,54.687313469682785,A,I,post,plus,3,31,A_plus_31
A.I.post.plus_32_2,909.7484869698181,11750.189992216772,52.697404561782484,A,I,post,plus,3,32,A_plus_32
A.I.post.plus_33_2,211.83284497963007,2340.4497048612334,54.8173075189426,A,I,post,plus,3,33,A_plus_33
A.I.post.plus_34_2,1805.7655581477677,23779.861314938265,52.377419209758315,A,I,post,plus,2,34,A_plus_34
A.I.post.plus_35_2,1089.4580123074911,13138.354570655722,53.707358329108764,A,I,post,plus,3,35,A_plus_35
B.I.post.plus_2_2,888.5005147684474,11393.505350016829,53.997345054380666,B,I,post,plus,3,2,B_plus_2
B.I.post.plus_4_2,1124.608941586336,14249.992728601634,53.957346885377646,B,I,post,plus,3,4,B_plus_4
B.I.post.plus_7_2,152.6143005589733,1806.2470938129807,55.80726220176738,B,I,post,plus,3,7,B_plus_7
B.I.post.plus_8_2,1365.4494918284477,17594.42902249904,53.63736153335348,B,I,post,plus,3,8,B_plus_8
B.I.post.plus_9_2,347.15958950195017,4022.9467117914005,55.35728280048338,B,I,post,plus,3,9,B_plus_9
B.I.post.plus_10_2,946.0335954797754,10776.148514348926,54.85730568794562,B,I,post,plus,3,10,B_plus_10
B.I.post.plus_12_2,1200.798262075432,17057.820607327798,50.10752311883686,B,I,post,plus,2,12,B_plus_12
B.I.post.plus_13_2,421.18368606858155,4820.553232339871,55.15729195546828,B,I,post,plus,3,13,B_plus_13
B.I.post.plus_15_2,742.5477549592605,8938.657008728058,53.7673555826133,B,I,post,plus,3,15,B_plus_15
B.I.post.plus_16_2,2289.9223941706387,28031.27720536924,53.3173761813293,B,I,post,plus,2,16,B_plus_16
B.I.post.plus_17_2,482.9796243423949,5376.409300536196,54.60731713167674,B,I,post,plus,3,17,B_plus_17
B.I.post.plus_18_2,275.3196072594866,2942.5936117859833,55.1072942442145,B,I,post,plus,3,18,B_plus_18
B.I.post.plus_19_2,236.85318741400013,2715.225300652789,54.367328117658616,B,I,post,plus,3,19,B_plus_19
B.I.post.plus_20_2,1432.9877799388357,17413.532668768436,52.95739266030212,B,I,post,plus,3,20,B_plus_20
B.I.post.plus_21_2,456.49714329277333,5024.750330944096,54.17733681489426,B,I,post,plus,3,21,B_plus_21
B.I.post.plus_22_2,1532.709566543647,18291.329340648434,52.88739586454683,B,I,post,plus,3,22,B_plus_22
B.I.post.plus_23_2,1073.87318831339,12186.429738988649,53.997345054380666,B,I,post,plus,3,23,B_plus_23
B.I.post.plus_24_2,281.4947191192009,4143.198261899102,47.487643049138974,B,I,post,plus,2,24,B_plus_24
B.I.post.plus_25_2,535.4859653567634,5811.157497500618,54.45732399791541,B,I,post,plus,3,25,B_plus_25
B.I.post.plus_27_2,1116.558957963031,12654.15114917661,54.00734459663142,B,I,post,plus,3,27,B_plus_27
B.I.post.plus_28_2,1515.9785908346507,19634.150684932436,51.437462238187315,B,I,post,plus,2,28,B_plus_28
B.I.post.plus_30_2,638.6652023486253,7058.106970370895,54.53732033592145,B,I,post,plus,3,30,B_plus_30
B.I.post.plus_31_2,547.8071163524857,5782.393664049211,54.937302025951666,B,I,post,plus,3,31,B_plus_31
B.I.post.plus_32_2,1198.0279047575734,13966.35370487961,53.60736290660121,B,I,post,plus,3,32,B_plus_32
B.I.post.plus_33_2,236.42394900735445,2483.589992841941,55.127293328716014,B,I,post,plus,3,33,B_plus_33
B.I.post.plus_34_2,1745.4290332217595,20998.69993333282,52.987391287054386,B,I,post,plus,3,34,B_plus_34
B.I.post.plus_35_2,604.9475417501367,6818.976249612622,53.82735283611783,B,I,post,plus,3,35,B_plus_35
B.I.post.plus_36_2,602.3376638663896,6661.161165808345,54.2573331529003,B,I,post,plus,3,36,B_plus_36
B.I.post.plus_37_2,333.40285320380855,3582.848258042754,55.45727822299094,B,I,post,plus,3,37,B_plus_37
B.I.post.plus_38_2,1128.884755190135,13248.477946915802,53.387372977084596,B,I,post,plus,3,38,B_plus_38
B.I.post.plus_39_2,1867.4293832629928,28624.259594829753,46.16770347203928,B,I,post,plus,2,39,B_plus_39
B.I.post.plus_40_2,140.29387358531352,1367.0980813528688,55.93725625102719,B,I,post,plus,3,40,B_plus_40
C.I.post.plus_1_2,2723.520820701953,38922.687101063464,49.6775461717718,C,I,post,plus,1,1,C_plus_1
C.I.post.plus_2_2,3517.7678829300726,42897.29853410004,53.0273930360683,C,I,post,plus,1,2,C_plus_2
C.I.post.plus_3_2,2206.7431800061026,31895.878953024097,49.80754022919226,C,I,post,plus,1,3,C_plus_3
C.I.post.plus_4_2,1805.767690818257,23347.11698285744,51.03748400324739,C,I,post,plus,2,4,C_plus_4
C.I.post.plus_5_2,2786.29652274038,38699.497195267424,49.65754708601481,C,I,post,plus,1,5,C_plus_5
C.I.post.plus_6_2,260.4687412935888,3562.906526459284,49.33756171390291,C,I,post,plus,3,6,C_plus_6
C.I.post.plus_7_2,1815.3465919922444,20964.50473314859,53.547369265750135,C,I,post,plus,3,7,C_plus_7
C.I.post.plus_8_2,429.3511087054285,6123.756171209201,49.55755165722984,C,I,post,plus,3,8,C_plus_8
C.I.post.plus_9_2,1941.2810799134104,24330.397987976732,51.78744971913466,C,I,post,plus,2,9,C_plus_9
