Sample.ID,lineage,major.lineage,Rifampicin,Isoniazid,Ethambutol,Streptomycin
SRR5074092,1.1.1.1,1,0,0,0,0
SRR5067328,1.1.1.1,1,0,1,0,0
SRR5067342,1.1.1.1,1,0,0,0,0
SRR26399957,1.1.1.1,1,0,1,0,0
SRR5073531,1.1.1.1,1,0,0,0,1
SRR5074064,1.1.1.1,1,0,0,0,0
SRR26399923,1.1.1.1,1,0,0,0,0
SRR5073905,1.1.1.1,1,1,1,0,1
SRR5067572,1.1.1.1,1,0,0,0,0
SRR5067310,1.1.1.1,1,0,0,0,0
SRR5067591,1.1.1.1,1,0,0,0,0
SRR26399678,1.1.1.1,1,0,0,0,0
SRR26399665,1.1.1.1,1,0,0,0,0
SRR26399942,1.1.1.1,1,0,0,0,0
SRR5067664,1.1.1.1,1,0,1,0,1
SRR5073754,1.1.1.1,1,0,0,0,0
SRR5074128,1.1.1.1,1,0,1,0,0
SRR5067668,1.1.1.1,1,0,0,0,0
SRR5073857,1.1.1.1,1,0,0,0,0
SRR5067320,1.1.1.1,1,0,0,0,1
SRR5073653,1.1.1.1,1,0,0,0,0
SRR5067519,1.1.1.1,1,0,0,0,0
SRR5065337,1.1.1.1,1,0,0,0,0
SRR5065525,1.1.1.1,1,0,0,0,0
SRR5067386,1.1.1.1,1,0,0,0,0
SRR5065398,1.1.1.1,1,0,0,0,0
SRR5073932,1.1.1.1,1,0,0,0,0
SRR5073541,1.1.1.1,1,0,0,0,1
SRR26399536,1.1.1.1,1,0,0,0,0
SRR5067235,1.1.1.1,1,0,0,0,0
SRR5073874,1.1.1.1,1,0,0,0,0
SRR5074143,1.1.1.1,1,0,0,0,0
SRR5073528,4.9,4,0,0,0,0
SRR5073557,1.1.1.1,1,0,0,0,0
SRR5067330,1.1.1.1,1,0,0,0,0
SRR5067644,1.1.1.1,1,0,0,0,0
SRR5067487,1.1.1.1,1,0,0,0,0
SRR5067255,1.1.1.1,1,0,0,0,0
SRR5073798,1.1.1.1,1,0,1,0,0
SRR5073844,1.1.1.1,1,0,0,0,0
SRR5065256,1.1.1.1,1,0,0,0,0
SRR26399418,1.1.1.1,1,0,1,0,0
SRR5065663,1.1.1.1,1,0,0,0,0
SRR5073756,1.1.1.1,1,0,0,0,0
SRR5067269,1.1.1.1,1,0,0,0,1
SRR5065202,1.1.1.1,1,0,0,0,0
SRR5067506,1.1.1.1,1,0,0,0,0
SRR5073545,1.1.1.1,1,1,0,0,1
SRR5073846,1.1.1.1,1,0,0,0,0
SRR5073891,1.1.1.1,1,0,0,0,0
SRR5065379,1.1.1.1,1,0,0,0,0
SRR5067300,1.1.1.1,1,0,1,0,1
SRR5065564,1.1.1.1,1,0,0,0,0
SRR5065331,1.1.1.1,1,0,0,0,0
SRR26399524,1.1.1.1,1,0,0,0,0
SRR5067453,1.1.1.1,1,0,1,0,0
SRR5073720,1.1.1.1,1,0,1,0,1
SRR26399696,1.1.1.1,1,0,0,0,0
SRR5065296,1.1.1.1,1,0,0,0,0
SRR5065236,1.1.1.1,1,0,1,0,1
SRR5073679,1.1.1.1,1,0,0,0,0
SRR5067452,1.1.1.1,1,0,0,0,0
SRR5067512,1.1.1.1,1,0,0,0,0
SRR5073952,1.1.1.1,1,0,1,0,1
SRR26399830,1.1.1.1,1,0,0,0,0
SRR5065668,1.1.1.1,1,0,1,0,0
SRR5074106,1.1.1.1,1,0,1,0,1
SRR5067648,1.1.1.1,1,0,0,0,0
SRR5065559,1.1.1.1,1,0,0,0,1
SRR5065415,1.1.1.1,1,0,1,0,1
SRR5067468,1.1.1.1,1,0,0,0,1
SRR5073645,1.1.1.1,1,0,0,0,0
SRR5073686,1.1.1.1,1,0,0,0,0
SRR5065684,1.1.1.1,1,0,0,0,0
SRR5067412,1.1.1.1,1,0,1,0,1
SRR5067641,1.1.1.1,1,0,0,0,0
SRR5074056,1.1.1.1,1,0,0,0,0
SRR5065593,1.1.1.1,1,0,1,0,0
SRR5065513,1.1.1.1,1,0,0,0,0
SRR5074145,1.1.1.1,1,0,0,0,0
SRR5073939,1.1.1.1,1,0,0,0,1
SRR5065679,1.1.1.1,1,0,1,0,0
SRR5067539,1.1.1.1,1,0,0,1,0
SRR26399932,1.1.1.1,1,0,1,0,0
SRR5073639,1.1.1.1,1,0,0,0,0
SRR5073806,1.1.1.1,1,0,0,0,0
SRR5073691,1.1.1.1,1,0,0,0,0
SRR5073542,1.1.1.1,1,0,0,0,0
SRR5065689,1.1.1.1,1,0,0,0,1
SRR26399960,1.1.1.1,1,0,0,0,0
SRR5065355,1.1.1.1,1,0,0,0,0
SRR26399967,1.1.1.1,1,0,0,0,0
SRR5067669,1.1.1.1,1,0,0,1,0
SRR5074133,1.1.1.1,1,0,0,0,0
SRR5065439,1.1.1.1,1,0,0,0,0
SRR5067488,1.1.1.1,1,0,0,0,0
SRR5065485,1.1.1.1,1,0,0,0,0
SRR5065448,1.1.1.1,1,0,0,0,0
SRR5067540,1.1.1.1,1,0,0,0,1
SRR5065211,1.1.1.1,1,0,1,1,1
SRR5065305,1.1.1.1,1,0,0,0,0
SRR5065452,1.1.1.1,1,0,0,0,0
SRR5073954,1.1.1.1,1,0,0,0,0
