rv.number,locus
Rv1557,mmpL6
Rv1565c,Rv1565c
Rv1569,bioF1
Rv1591,Rv1591
Rv1595,nadB
Rv1602,hisH
Rv1604,impA
Rv1614,lgt
Rv1619,cydC
Rv1624c,Rv1624c
Rv1634,Rv1634
Rv1639c,Rv1639c
Rv1640c,lysX
Rv1644,tsnR
Rv1659,argH
Rv1660,pks10
Rv1661,pks7
Rv1664,pks9
Rv1667c,Rv1667c
Rv1693,Rv1693
Rv1704c,cycA
Rv1714,Rv1714
Rv1731,gabD2
Rv1739c,Rv1739c
Rv1743,pknE
Rv1747,Rv1747
Rv1750c,fadD1
Rv1751,Rv1751
Rv1776c,Rv1776c
Rv1781c,malQ
Rv1783,eccC5
Rv1797,eccE5
Rv1815,Rv1815
Rv1820,ilvG
Rv1823,Rv1823
Rv1828,Rv1828
Rv1843c,guaB1
Rv1848,ureA
Rv1851,ureF
Rv1866,Rv1866
Rv1872c,lldD2
Rv1873,Rv1873
Rv1884c,rpfC
Rv1885c,Rv1885c
Rv1886c,fbpB
Rv1891,Rv1891
Rv1901,cinA
Rv1908c,katG
Rv1912c,fadB5
Rv1921c,lppF
Rv1931c,Rv1931c
Rv1933c,fadE18
Rv1940,ribA1
Rv1944c,Rv1944c
Rv1949c,Rv1949c
Rv1958c,Rv1958c
Rv1959c,parE1
Rv1969,mce3D
Rv1971,mce3F
Rv1985c,Rv1985c
Rv1991c,mazF6
Rv1995,Rv1995
Rv1999c,Rv1999c
Rv2004c,Rv2004c
Rv2006,otsB1
Rv2020c,Rv2020c
Rv2035,Rv2035
Rv2037c,Rv2037c
Rv2048c,pks12
Rv2066,cobI
Rv2067c,Rv2067c
Rv2079,Rv2079
Rv2088,pknJ
Rv2092c,helY
Rv2115c,mpa
Rv2116,lppK
Rv2118c,Rv2118c
Rv2155c,murD
Rv2160A,Rv2160c
Rv2161c,Rv2161c
Rv2174,mptA
Rv2187,fadD15
Rv2190c,Rv2190c
Rv2199c,Rv2199c
Rv2200c,ctaC
Rv2201,asnB
Rv2217,lipB
Rv2224c,caeA
Rv2231c,cobC
Rv2263,Rv2263
Rv2264c,Rv2264c
Rv2271,Rv2271
Rv2283,Rv2283
Rv2291,sseB
Rv2294,Rv2294
Rv2303c,Rv2303c
Rv2305,Rv2305
Rv2332,mez
Rv2343c,dnaG
Rv2348c,Rv2348c
Rv2362c,recO
Rv2373c,dnaJ2
Rv2381c,mbtD
Rv2386c,mbtI
Rv2387,Rv2387
Rv2393,che1
Rv2395A,aprA
Rv2407,Rv2407
Rv2444c,rne
Rv2455c,Rv2455c
Rv2474c,Rv2474c
Rv2484c,Rv2484c
Rv2485c,lipQ
Rv2488c,Rv2488c
Rv2505c,fadD35
Rv2506,Rv2506
Rv2531c,Rv2531c
Rv2535c,pepQ
Rv2550c,vapB20
Rv2569c,Rv2569c
Rv2585c,Rv2585c
Rv2605c,tesB2
Rv2616,Rv2616
Rv2619c,Rv2619c
Rv2621c,Rv2621c
Rv2631,Rv2631
Rv2633c,Rv2633c
Rv2670c,Rv2670c
Rv2673,aftC
Rv2677c,hemY
Rv2681,Rv2681
Rv2683,Rv2683
Rv2696c,Rv2696c
Rv2705c,Rv2705c
Rv2712c,Rv2712c
Rv2713,sthA
Rv2721c,Rv2721c
Rv2737c,recA
Rv2739c,Rv2739c
Rv2743c,Rv2743c
Rv2750,Rv2750
Rv2779c,Rv2779c
Rv2784c,lppU
Rv2799,Rv2799
Rv2819c,Rv2819c
Rv2825c,Rv2825c
Rv2826c,Rv2826c
Rv2828c,Rv2828c
Rv2836c,dinF
Rv2838c,rbfA
Rv2860c,glnA4
Rv2861c,mapB
Rv2868c,gcpE
Rv2917,Rv2917
Rv2918c,glnD
Rv2933,ppsC
Rv2934,ppsD
Rv2942,mmpL7
Rv2949c,Rv2949c
Rv2950c,fadD29
Rv2964,purU
Rv3008,Rv3008
Rv3011c,gatA
Rv3059,cyp136
Rv3075c,Rv3075c
Rv3086,adhD
Rv3088,tgs4
Rv3093c,Rv3093c
Rv3107c,agpS
Rv3121,cyp141
Rv3132c,devS
Rv3147,nuoC
Rv3162c,Rv3162c
Rv3163c,Rv3163c
Rv3189,Rv3189
Rv3190c,Rv3190c
Rv3198c,uvrD2
Rv3200c,Rv3200c
Rv3201c,Rv3201c
Rv3213c,Rv3213c
Rv3219,whiB1
Rv3236c,Rv3236c
Rv3245c,mtrB
Rv3248c,sahH
Rv3263,Rv3263
Rv3268,Rv3268
Rv3270,ctpC
Rv3274c,fadE25
Rv3299c,atsB
Rv3314c,deoA
Rv3333c,Rv3333c
Rv3339c,icd1
Rv3371,Rv3371
