rv.number,locus
Rv1592c,Rv1592c
Rv1676,Rv1676
Rv1755c,plcD
Rv1777,cyp144
Rv1804c,Rv1804c
Rv1854c,ndh
Rv1855c,Rv1855c
Rv1874,Rv1874
Rv1880c,cyp140
Rv1896c,Rv1896c
Rv1900c,lipJ
Rv1929c,Rv1929c
Rv1950c,Rv1950c
Rv1964,yrbE3A
Rv2005c,Rv2005c
Rv2022c,Rv2022c
Rv2137c,Rv2137c
Rv2152c,murC
Rv2165c,Rv2165c
Rv2188c,pimB
Rv2196,qcrB
Rv2216,Rv2216
Rv2226,Rv2226
Rv2270,lppN
Rv2298,Rv2298
Rv2301,cut2
Rv2330c,lppP
Rv2335,cysE
Rv2345,Rv2345
Rv2370c,Rv2370c
Rv2425c,Rv2425c
Rv2476c,gdh
Rv2477c,Rv2477c
Rv2560,Rv2560
Rv2561,Rv2561
Rv2566,Rv2566
Rv2583c,relA
Rv2589,gabT
Rv2609c,Rv2609c
Rv2732c,Rv2732c
Rv2749,Rv2749
Rv2782c,pepR
Rv2817c,Rv2817c
Rv2828A,Rv2828A
Rv2833c,ugpB
Rv2841c,nusA
Rv2867c,Rv2867c
Rv2881c,cdsA
Rv2898c,Rv2898c
Rv2926c,Rv2926c
Rv2928,tesA
Rv2967c,pca
Rv2989,Rv2989
Rv3024c,trmU
Rv3054c,Rv3054c
Rv3061c,fadE22
Rv3072c,Rv3072c
Rv3080c,pknK
Rv3089,fadD13
Rv3094c,Rv3094c
Rv3113,Rv3113
Rv3116,moeB2
Rv3148,nuoD
Rv3151,nuoG
Rv3164c,moxR3
Rv3192,Rv3192
Rv3225c,Rv3225c
Rv3300c,Rv3300c
Rv3443c,rplM
Rv3464,rmlB
Rv3470c,ilvB2
Rv3494c,mce4F
Rv3509c,ilvX
Rv3527,Rv3527
Rv3578,arsB2
Rv3579c,Rv3579c
Rv3662c,Rv3662c
Rv3685c,cyp137
Rv3695,Rv3695
Rv3698,Rv3698
Rv3726,Rv3726
Rv3790,dprE1
Rv3803c,fbpD
Rv3811,Rv3811
Rv3832c,Rv3832c
Rv3858c,gltD
Rv3866,espG1
Rv3869,eccB1
Rv3883c,mycP1
Rv3921c,Rv3921c
nan,proT-vapC12
Rv2063A,mazF7
Rv2232,ptkA
Rv2818c,Rv2818c
Rv0772,purD
Rv1087A,Rv1087A
Rv1507c,Rv1507c
Rv1517,Rv1517
Rv2030c,Rv2030c
Rv2228c,Rv2228c
Rv2245,kasA
Rv2295,Rv2295
Rv3229c,desA3
Rv3336c,trpS
Rv2157c,murF
Rv1318c,Rv1318c
Rv1765c-Rv1765A,Rv1765c-Rv1765A
Rv2293c,Rv2293c
Rv1509,Rv1509
Rv0074,Rv0074
Rv0440,groEL2
Rv0895,Rv0895
Rv1106c,Rv1106c
Rv2789c,fadE21
Rv3450c,eccB4
Rv1038c,esxJ
Rv2243,mcr16-acpM
Rv0647c-Rv0648,Rv0647c-Rv0648
Rv1368-Rv1369c,lprF-Rv1369c
Rv2277c,Rv2277c
Rv2279-Rv2280,Rv2279-Rv2280
Rv1729c-Rv1730c,Rv1729c-Rv1730c
Rv0091,mtn
Rv0456A,mazF1
Rv0889c,citA
Rv0914c,Rv0914c
Rv0966c,Rv0966c
Rv1204c,Rv1204c
Rv1260,Rv1260
Rv1360,Rv1360
Rv1518,Rv1518
Rv1810,Rv1810
Rv1924c,Rv1924c
Rv2070c,cobK
Rv2268c,cyp128
Rv2275,Rv2275
Rv2319c,Rv2319c
Rv2350c,plcB
Rv2553c,Rv2553c
Rv2574,Rv2574
Rv2777c,Rv2777c
Rv2953,Rv2953
Rv2994,Rv2994
Rv3007c,Rv3007c
Rv3037c,Rv3037c
Rv3129,Rv3129
Rv3170,aofH
Rv3234c,tgs3
Rv3716c,Rv3716c
Rv3878,espJ
Rv0006,gyrA
Rv0010c,Rv0010c
Rv0021c,Rv0021c
Rv0030,Rv0030
Rv0062,celA1
Rv0092,ctpA
Rv0116c,ldtA
Rv0126,treS
Rv0142,Rv0142
Rv0143c,Rv0143c
Rv0144,Rv0144
Rv0180c,Rv0180c
Rv0210,Rv0210
Rv0239,vapB24
Rv0241c,htdX
Rv0262c,aac
Rv0274,Rv0274
Rv0300,vapB2
Rv0309,Rv0309
Rv0327c,cyp135A1
Rv0329c,Rv0329c
Rv0331,Rv0331
Rv0339c,Rv0339c
Rv0350,dnaK
Rv0352,dnaJ1
Rv0386,Rv0386
Rv0392c,ndhA
Rv0407,fgd1
Rv0433,Rv0433
Rv0465c,Rv0465c
Rv0467,icl1
Rv0468,fadB2
Rv0469,umaA
Rv0496,Rv0496
Rv0505c,serB1
Rv0519c,Rv0519c
Rv0524,hemL
Rv0542c,menE
Rv0587,yrbE2A
Rv0628c,Rv0628c
Rv0632c,echA3
Rv0633c,Rv0633c
Rv0638,secE1
Rv0643c,mmaA3
Rv0655,mkl
Rv0658c,Rv0658c
Rv0668,rpoC
Rv0672,fadE8
Rv0680c,Rv0680c
Rv0725c,Rv0725c
Rv0749,vapC31
Rv0756c,Rv0756c
Rv0761c,adhB
Rv0762c,Rv0762c
Rv0778,cyp126
Rv0791c,Rv0791c
Rv0802c,Rv0802c
Rv0816c,thiX
Rv0846c,Rv0846c
Rv0856,Rv0856
Rv0862c,Rv0862c
Rv0897c,Rv0897c
Rv0906,Rv0906
Rv0911,Rv0911
Rv0924c,mntH
Rv0928,pstS3
Rv0953c,Rv0953c
Rv0973c,accA2
Rv0979A,rpmF
Rv1001,arcA
Rv1011,ispE
Rv1017c,prsA
Rv1032c,trcS
Rv1037c,esxI
Rv1043c,Rv1043c
Rv1050,Rv1050
Rv1061,Rv1061
Rv1074c,fadA3
Rv1111c,Rv1111c
Rv1158c,Rv1158c
Rv1180,pks3
Rv1182,papA3
Rv1201c,dapD
Rv1231c,Rv1231c
Rv1264,Rv1264
Rv1266c,pknH
Rv1309,atpG
EBG00000313339,rrl
Rv1345,mbtM
Rv1348,irtA
Rv1350,fabG2
EBG00000313340,mcr15
Rv1372,Rv1372
Rv1377c,Rv1377c
Rv1403c,Rv1403c
Rv1405c,Rv1405c
Rv1426c,lipO
Rv1451,ctaB
Rv1473A,Rv1473A
Rv1480,Rv1480
Rv1526c,Rv1526c
Rv1543,Rv1543
Rv1570,bioD
Rv1630,rpsA
Rv1648,Rv1648
Rv1650,pheT
Rv1657,argR
Rv1663,pks17
Rv1677,dsbF
Rv1696,recN
Rv1713,engA
Rv1715,fadB3
Rv1724c,Rv1724c
Rv1733c,Rv1733c
Rv1779c,Rv1779c
Rv1792,esxM
Rv1833c,Rv1833c
Rv1836c,Rv1836c
Rv1842c,Rv1842c
Rv1846c,blaI
Rv1875,Rv1875
Rv1881c,lppE
Rv1889c,Rv1889c
Rv1909c,furA
Rv1932,tpx
Rv1947,Rv1947
Rv1951c,Rv1951c
Rv1957,Rv1957
Rv1975,Rv1975
Rv1993c,Rv1993c
Rv2003c,Rv2003c
Rv2051c,ppm1
Rv2065,cobH
Rv2073c,Rv2073c
Rv2074,Rv2074
Rv2090,Rv2090
Rv2130c,mshC
Rv2132,Rv2132
Rv2138,lppL
Rv2140c,TB18.6
Rv2163c,pbpB
Rv2203,Rv2203
Rv2205c,Rv2205c
Rv2212,Rv2212
Rv2230c,Rv2230c
Rv2265,Rv2265
Rv2320c,rocE
Rv2329c,narK1
Rv2358,smtB
Rv2379c,mbtF
Rv2380c,mbtE
Rv2385,mbtJ
Rv2394,ggtB
Rv2427A,oxyR
Rv2470,glbO
Rv2524c,fas
Rv2570,Rv2570
Rv2575,Rv2575
Rv2595,vapB40
Rv2612c,pgsA1
Rv2676c,Rv2676c
Rv2719c,Rv2719c
Rv2735c,Rv2735c
Rv2760c,vapB42
Rv2788,sirR
Rv2858c,aldC
Rv2880c,Rv2880c
Rv2913c,Rv2913c
Rv2927c,Rv2927c
Rv2946c,pks1
Rv2948c,fadD22
Rv2955c,Rv2955c
Rv2962c,Rv2962c
Rv2971,Rv2971
Rv2973c,recG
Rv2974c,Rv2974c
Rv2976c,ung
Rv2990c,Rv2990c
Rv3019c,esxR
Rv3026c,Rv3026c
Rv3042c,serB2
Rv3043c,ctaD
Rv3045,adhC
Rv3071,Rv3071
Rv3079c,Rv3079c
Rv3082c,virS
Rv3083,Rv3083
Rv3085,Rv3085
Rv3087,Rv3087
Rv3091,Rv3091
Rv3111,moaC1
Rv3130c,tgs1
Rv3161c,Rv3161c
Rv3197,Rv3197
Rv3205c,Rv3205c
Rv3221c,TB7.3
Rv3279c,birA
Rv3290c,lat
Rv3291c,lrpA
Rv3301c,phoY1
Rv3312c,Rv3312c
Rv3316,sdhC
Rv3330,dacB1
Rv3335c,Rv3335c
Rv3355c,Rv3355c
Rv3356c,folD
Rv3362c,Rv3362c
Rv3375,amiD
Rv3379c,dxs2
Rv3396c,guaA
Rv3398c,idsA1
Rv3442c,rpsI
Rv3502c,Rv3502c
Rv3510c,Rv3510c
Rv3521,Rv3521
Rv3524,Rv3524
Rv3525c,Rv3525c
Rv3530c,Rv3530c
Rv3535c,hsaG
Rv3562,fadE31
Rv3581c,ispF
Rv3582c,ispD
Rv3645,Rv3645
Rv3646c,topA
Rv3684,Rv3684
Rv3688c,Rv3688c
Rv3692,moxR2
Rv3699,Rv3699
Rv3732,Rv3732
Rv3736,Rv3736
Rv3743c,ctpJ
Rv3754,tyrA
Rv3789,Rv3789
Rv3794,embA
Rv3833,Rv3833
Rv3862c,whiB6
Rv3868,eccA1
Rv3924c,rpmH
Rv0950c,Rv0950c
Rv2189c,Rv2189c
Rv3394c,Rv3394c
Rv3651-MTB000071,Rv3651-mpr18
Rv1312-Rv1313c,Rv1312-Rv1313c
Rv1637c,Rv1637c
Rv3196A-Rv3197,Rv3196A-Rv3197
Rv3901c,Rv3901c
Rv0504c-Rv0505c,Rv0504c-serB1
Rv0132c,fgd2
Rv0269c,Rv0269c
Rv0551c,fadD8
Rv2101,helZ
Rv3667,acs
Rv0037c,Rv0037c
Rv0146,Rv0146
Rv0410c,pknG
Rv0437c,psd
Rv0481c,Rv0481c
Rv0510,hemC
Rv0555,menD
Rv0848,cysK2
Rv1052,Rv1052
Rv1121,zwf1
Rv1177,fdxC
Rv1189,sigI
Rv1240,mdh
Rv1357c,Rv1357c
Rv1465,Rv1465
Rv1471,trxB1
Rv1859,modC
Rv1914c,Rv1914c
Rv1937,Rv1937
Rv2011c,Rv2011c
Rv2514c,Rv2514c
Rv2643,arsC
Rv2751,Rv2751
Rv2765,Rv2765
Rv2916c,ffh
Rv2968c,Rv2968c
Rv2987c,leuD
Rv2991,Rv2991
Rv3032A,Rv3032A
Rv3067,Rv3067
Rv3140,fadE23
Rv3232c,ppk2
Rv3372,otsB2
Rv3526,kshA
Rv3584,lpqE
Rv3592,mhuD
Rv3784,Rv3784
Rv3810,pirG
Rv3881c,espB
Rv1084,Rv1084
Rv0113,gmhA
Rv0471c,Rv0471c
Rv0140,Rv0140
Rv0687,Rv0687
Rv0690c,Rv0690c
Rv0737,Rv0737
Rv1122,gnd2
Rv1125,Rv1125
Rv1171,Rv1171
Rv1433,Rv1433
Rv1609,trpE
Rv1621c,cydD
Rv1737c,narK2
Rv2032,acg
Rv2322c,rocD1
Rv2414c,Rv2414c
Rv2532c,Rv2532c
Rv2590,fadD9
Rv2592c,ruvB
Rv2783c,gpsI
Rv2829c,vapC22
Rv2847c,cysG
Rv2850c,Rv2850c
Rv2897c,Rv2897c
Rv3063,cstA
Rv3241c,Rv3241c
Rv3298c,lpqC
Rv3623,lpqG
MTB000055,AS1726
Rv1370c-Rv1371,Rv1370c-Rv1371
Rv2426c-Rv2427c,Rv2426c-proA
Rv0242c,fabG4
Rv0681,Rv0681
Rv0894,Rv0894
Rv0975c,fadE13
Rv1213,glgC
Rv1490,Rv1490
Rv1606,hisI
Rv1687c,Rv1687c
Rv1830,Rv1830
Rv1922,Rv1922
Rv2054,Rv2054
Rv2540c,aroF
Rv3155,nuoK
Rv3506,fadD17
Rv3740c,Rv3740c
Rv1157c,Rv1157c
Rv2435c,Rv2435c
Rv0016c,pbpA
Rv0145,Rv0145
Rv0502,Rv0502
Rv0753c,mmsA
Rv0853c,pdc
Rv0887c,Rv0887c
Rv0930,pstA1
Rv0983,pepD
Rv1044,Rv1044
Rv1197,esxK
Rv1232c,Rv1232c
Rv1698,mctB
Rv1857,modA
Rv1956,higA
Rv1976c,Rv1976c
Rv1992c,ctpG
Rv2009,vapB15
Rv2028c,Rv2028c
Rv2029c,pfkB
Rv2050,Rv2050
Rv2176,pknL
Rv2685,arsB1
Rv2720,lexA
Rv2988c,leuC
Rv3561,fadD3
Rv3871,eccCb1
Rv0387c,Rv0387c
Rv1656,argF
Rv2215,dlaT
Rv1483,fabG1
Rv2480c-Rv2481c,Rv2480c-Rv2481c
Rv1759c-Rv1760,wag22-Rv1760
Rv0755A-MTB000009,Rv0755A-thrV
Rv2376c,cfp2
Rv2551c,Rv2551c
Rv0596c,vapB4
Rv1104,Rv1104
Rv2042c,Rv2042c
Rv2282c,Rv2282c
Rv2397c,cysA1
Rv0218,Rv0218
Rv0620,galK
Rv2153c,murG
Rv2154c,ftsW
Rv0070c,glyA2
Rv0064A,vapB1
Rv1358,Rv1358
Rv1647,Rv1647
Rv1894c,Rv1894c
Rv3756c,proZ
Rv0060,Rv0060
Rv0139,Rv0139
Rv0243,fadA2
Rv0498,Rv0498
Rv0548c,menB
Rv0820,phoT
Rv0864,moaC2
Rv0886,fprB
Rv1059,Rv1059
Rv1292,argS
Rv1612,trpB
Rv1623c,cydA
Rv1718,Rv1718
Rv1852,ureG
Rv1984c,cfp21
Rv2159c,Rv2159c
Rv2482c,plsB2
Rv2522c,Rv2522c
Rv2680,Rv2680
Rv2692,ceoC
Rv2793c,truB
Rv3447c,eccC4
Rv3770c,Rv3770c
Rv3825c,pks2
Rv1317c,alkA
Rv1613,trpA
Rv3463,Rv3463
Rv3603c,Rv3603c
Rv0875c,Rv0875c
Rv1970,lprM
Rv1990A,Rv1990A
Rv0004,Rv0004
Rv0059,Rv0059
Rv0130,htdZ
Rv0284,eccC3
Rv0385,Rv0385
Rv0414c,thiE
Rv0456c,echA2
Rv0574c,Rv0574c
Rv0677c,mmpS5
Rv0861c,ercc3
Rv0883c,Rv0883c
Rv0896,gltA2
Rv0999,Rv0999
Rv1124,ephC
Rv1161,narG
Rv1683,Rv1683
Rv1689,tyrS
Rv1954c,Rv1954A-higB
Rv1961,Rv1961
Rv1963c,mce3R
Rv2119,Rv2119
Rv2427c,proA
Rv2752c,Rv2752c
Rv2862A,vapB23
Rv2914c,pknI
Rv3134c,Rv3134c
Rv3277,Rv3277
Rv3703c,Rv3703c
Rv3748,Rv3748
Rv3884c,eccA2
Rv0023,Rv0023
Rv0291,mycP3
Rv3158,nuoN
Rv0261c,narK3
Rv0231,fadE4
Rv0366c,Rv0366c
Rv0866,moaE2
Rv1186c,Rv1186c
Rv1706A,Rv1706A
Rv1906c,Rv1906c
Rv2249c,glpD1
Rv2675c,Rv2675c
Rv2682c,dxs1
Rv2963,Rv2963
Rv3280,accD5
Rv3889c,espG2
Rv2213,pepB
Rv0165c,mce1R
Rv0192,Rv0192A-Rv0193c
Rv0214,fadD4
Rv0373c,Rv0373c
Rv0674,Rv0674
Rv0683,rpsG
Rv0891c,Rv0891c
Rv1000c,Rv1000c
Rv1116A,Rv1116A
Rv1302,rfe
Rv1555,frdD
Rv1941,Rv1941
Rv2436,rbsK
Rv2911,dacB2
Rv2954c,Rv2954c
Rv3092c,Rv3092c
Rv3338,Rv3338
Rv0564c,gpdA1
Rv1419,Rv1419
Rv3838c,pheA
Rv3857c,Rv3857c
Rv0086,hycQ
Rv0216,Rv0216
Rv0347,Rv0347
Rv0776c,Rv0776c
Rv0972c,fadE12
Rv0985c,mscL
Rv1079,metB
Rv1103c,mazE3
Rv1336,cysM
Rv1615,Rv1615
Rv2023c,Rv2023c
Rv2281,pitB
Rv2758c,vapB21
Rv2869c,rip
Rv3230c,Rv3230c
Rv3500c,yrbE4B
Rv1138c,Rv1138c
Rv2251,Rv2251
Rv2922c,smc
Rv3255c,manA
Rv1553,frdB
Rv2689c,Rv2689c
Rv0158,Rv0158
Rv0395,Rv0395
Rv0556,Rv0556
Rv0653c,Rv0653c
Rv1219c,Rv1219c
Rv1254,Rv1254
Rv1335,cysO
Rv1382,Rv1382
Rv1464,csd
Rv1892,Rv1892
Rv2207,cobT
Rv2317,uspB
Rv2418c,Rv2418c
Rv2970c,lipN
Rv3000,Rv3000
Rv3178,Rv3178
Rv3454,Rv3454
Rv3763,lpqH
Rv3809c,glf
Rv1333,Rv1333
Rv3860,Rv3860
Rv0056,rplI
Rv0817c,Rv0817c
Rv0933,pstB
Rv1057,Rv1057
Rv2041c,Rv2041c
Rv2402,Rv2402
Rv2958c,Rv2958c
Rv3194c,Rv3194c
Rv3423c,alr
Rv3434c,Rv3434c
Rv0301,vapC2
Rv0371c,Rv0371c
Rv0622,Rv0622
Rv0869c,moaA2
Rv1315,murA
Rv1832,gcvB
Rv2045c,lipT
Rv2219,Rv2219
Rv2285,Rv2285
Rv2456c,Rv2456c
Rv2587c,secD
Rv3224,Rv3224
Rv3482c,Rv3482c
Rv3538,Rv3538
Rv3610c,ftsH
Rv3734c,tgs2
Rv0752c,fadE9
Rv1402,priA
Rv1423,whiA
Rv3166c,Rv3166c
Rv3334,Rv3334
Rv0077c,Rv0077c
Rv1015c,rplY
Rv1113,vapB32
Rv1316c,ogt
Rv2776c,Rv2776c
Rv0057,Rv0057
Rv0183,Rv0183
Rv0206c,mmpL3
Rv0228,Rv0228
Rv0326,Rv0326
Rv0363c,fba
Rv0435c,Rv0435c
Rv0445c,sigK
Rv0447c,ufaA1
Rv0589,mce2A
Rv0639,nusG
Rv0842,Rv0842
Rv0970,Rv0970
Rv1191,Rv1191
Rv1381,pyrC
Rv1673c,Rv1673c
Rv1711,Rv1711
Rv1749c,Rv1749c
Rv1811,mgtC
Rv1869c,Rv1869c
Rv1878,glnA3
Rv1980c,mpt64
Rv2001,Rv2001
Rv2053c,fxsA
Rv2135c,Rv2135c
Rv2175c,Rv2175c
Rv2195,qcrA
Rv2428,ahpC
Rv2515c,Rv2515c
Rv2586c,secF
Rv2601,speE
Rv2800,Rv2800
Rv2845c,proS
Rv2984,ppk1
Rv3104c,Rv3104c
Rv3169,Rv3169
Rv3260c,whiB2
Rv3285,accA3
Rv3321c,vapB44
Rv3369,Rv3369
Rv3441c,mrsA
Rv3495c,lprN
Rv3572,Rv3572
Rv3625c,mesJ
Rv3668c,Rv3668c
Rv3700c,Rv3700c
Rv3831,Rv3831
Rv3870,eccCa1
Rv3882c,eccE1
Rv3912,Rv3912
Rv1247c-Rv1248c,relB-Rv1248c
Rv3461c,rpmJ
Rv0836c,Rv0836c
Rv0013,trpG
Rv0052,Rv0052
Rv0110,Rv0110
Rv0209,Rv0209
Rv0654,Rv0654
Rv1071c,echA9
Rv1200,Rv1200
Rv1223,htrA
Rv1567c,Rv1567c
Rv1898,Rv1898
Rv2058c,rpmB2
Rv2225,panB
Rv2513,Rv2513
Rv3252c,alkB
Rv3731,ligC
Rv3867,espH
Rv3898c,Rv3898c
Rv3346c,Rv3346c
Rv1770,Rv1770
Rv2075c,Rv2075c
Rv0518,Rv0518
Rv0580c,Rv0580c
Rv0785,Rv0785
Rv0786c,Rv0787
Rv1493,mutB
Rv2136c,Rv2136c
Rv2486,echA14
Rv2542,Rv2542
Rv2701c,suhB
Rv3014c,ligA
Rv3548c,Rv3548c
Rv3750c-Rv3751,Rv3750c-Rv3751
Rv0443,Rv0443
Rv0614,Rv0614
Rv1778c,Rv1778c
Rv0017c,rodA
Rv0224c,Rv0224c
Rv0417,thiG
Rv0448c,Rv0448c
Rv0450c,mmpL4
Rv0541c,Rv0541c
Rv0942,Rv0942
Rv1007c,metS
Rv1063c,Rv1063c
Rv1109c,Rv1109c
Rv1133c,metE
Rv1210,tagA
Rv1449c,tkt
Rv2252,Rv2252
Rv2388c,hemN
Rv2664,Rv2664
Rv3027c,Rv3027c
Rv3302c,glpD2
Rv3472,Rv3472
Rv3476c,kgtP
Rv3896c,Rv3896c
Rv1123c,bpoB
Rv1738,Rv1738
Rv1962c,vapC35
Rv2297,Rv2297
Rv2426c,Rv2426c
Rv2563,Rv2563
Rv3057c,Rv3057c
Rv3197A,whiB7
Rv3807c,Rv3807c
Rv0022c,whiB5
Rv0119,fadD7
Rv0121c,Rv0121c
Rv0164,TB18.5
Rv0229c,Rv0229c
Rv0235c,Rv0235c
Rv0288,esxH
Rv0360c,Rv0360c
Rv0362,mgtE
Rv0422c,thiD
Rv0446c,Rv0446c
Rv0477,Rv0477
Rv0501,galE2
Rv0547c,Rv0547c
Rv0554,bpoC
Rv0609A,Rv0609A
Rv0616c,Rv0616c
Rv0804,Rv0804
Rv0849,Rv0849
Rv0929,pstC2
Rv0954,Rv0954
Rv0968,Rv0968
Rv1004c,Rv1004c
Rv1021,Rv1021
Rv1096,Rv1096
Rv1098c,fum
Rv1131,prpC
Rv1139c,Rv1139c
Rv1181,pks4
Rv1249c,Rv1249c
Rv1297,rho
Rv1304,atpB
Rv1366,Rv1366
Rv1482c,Rv1482c
Rv1507A,Rv1507A
Rv1540,Rv1540
Rv1716,Rv1716
Rv1719,Rv1719
Rv1727,Rv1727
Rv1752,Rv1752
Rv1760,Rv1760
Rv1834,lipZ
Rv1910c,Rv1910c
Rv2078,Rv2078
Rv2164c,Rv2164c
Rv2220,glnA1
Rv2253,Rv2253
Rv2374c,hrcA
Rv2447c,folC
Rv2582,ppiB
Rv2723,Rv2723
Rv2787,Rv2787
Rv2846c,efpA
Rv2878c,mpt53
Rv2910c,Rv2910c
Rv2939,papA5
Rv2957,Rv2957
Rv2995c,leuB
Rv3038c,Rv3038c
Rv3040c,Rv3040c
Rv3243c,Rv3243c
Rv3289c,Rv3289c
Rv3294c,Rv3294c
Rv3303c,lpdA
Rv3419c,gcp
Rv3421c,Rv3421c
Rv3438,Rv3438
Rv3519,Rv3519
Rv3564,fadE33
Rv3571,kshB
Rv3573c,fadE34
Rv3673c,Rv3673c
Rv3678A,Rv3678A
Rv3707c,Rv3707c
Rv3745c,Rv3745c
Rv3824c,papA1
Rv3902c,Rv3902c
Rv0046c,ino1
Rv0044c,Rv0044c
Rv0322,udgA
Rv0053,rpsF
Rv0089,Rv0089
Rv0138,Rv0138
Rv0289,espG3
Rv0306,Rv0306
Rv0357c,purA
Rv0397A,Rv0397A
Rv0567,Rv0567
Rv0568,cyp135B1
Rv0659c,mazF2
Rv0728c,serA2
Rv0750,Rv0750
Rv0955,Rv0955
Rv1031,kdpC
Rv1170,mshB
Rv1239c,corA
Rv1296,thrB
Rv1331,Rv1331
Rv1352,Rv1352
Rv1395,Rv1395
Rv1462,Rv1462
Rv1514c,Rv1514c
Rv1601,hisB
Rv1720c,vapC12
Rv1745c,idi
Rv1862,adhA
Rv1882c,Rv1882c
Rv2017,Rv2017
Rv2127,ansP1
Rv2129c,Rv2129c
Rv2223c,Rv2223c
Rv2311,Rv2311
Rv2419c,gpgP
Rv2469c,Rv2469c
Rv2489c,Rv2489c
Rv2729c,Rv2729c
Rv2756c,hsdM
Rv2890c,rpsB
Rv2972c,Rv2972c
Rv3103c,Rv3103c
Rv3273,Rv3273
Rv3332,nagA
Rv3471c,Rv3471c
Rv3536c,hsaE
Rv3543c,fadE29
Rv3600c,Rv3600c
Rv3771c,Rv3771c
Rv3778c,Rv3778c
Rv3817,Rv3817
Rv3845,Rv3845
Rv0871-Rv0872c,cspB-PE_PGRS15
Rv2158c,murE
Rv2733c,Rv2733c
Rv3078,hab
Rv3261,fbiA
Rv3547,ddn
Rv3575c,Rv3575c
Rv2147c,Rv2147c
Rv0837c,Rv0837c
Rv1019,Rv1019
Rv1229c,mrp
Rv1303,Rv1303
Rv1598c,Rv1598c
Rv1923,lipD
Rv2019,Rv2019
Rv2614c,thrS
Rv2672,Rv2672
Rv2684,arsA
Rv2805,Rv2805
Rv2864c,Rv2864c
Rv3413c,Rv3413c
Rv3499c,mce4A
Rv3633,Rv3633
Rv0179c,lprO
Rv0356c,Rv0356c
Rv0824c,ASdes-Rv0825c
Rv2798c,Rv2798c
Rv1270c,lprA
Rv0521,Rv0521
Rv1566c,Rv1566c
Rv0054,ssb
Rv0744c,Rv0744c
Rv0784,Rv0784
Rv0794c,Rv0794c
Rv0993,galU
Rv1299,prfA
Rv1457c,Rv1457c
Rv1477,ripA
Rv2259,mscR
Rv2287,yjcE
Rv2326c,Rv2326c
Rv2520c,Rv2520c
Rv3062,ligB
Rv3312A,Rv3312A
Rv3772,hisC2
Rv2975c,Rv2975c
Rv0913c,Rv0913c
Rv1136,Rv1136
Rv1164,narI
Rv1695,ppnK
Rv1814,erg3
Rv3177,Rv3177
Rv3400,Rv3400
Rv3457c,rpoA
Rv3560c,fadE30
Rv3767c,Rv3767c
Rv0781,ptrBa
Rv0240,vapC24
Rv3254,Rv3254
Rv0148,Rv0148
Rv0819,mshD
Rv0860,fadB
Rv1277,Rv1277
Rv1288,Rv1288
Rv1310,atpD
Rv3307,deoD
Rv3705c,Rv3705c
Rv0069c,sdaA
Rv0153c,ptbB
Rv0293c,Rv0293c
Rv0979c,Rv0979c
Rv1060,Rv1060
Rv1356c,Rv1356c
Rv1853,ureD
Rv1965,yrbE3B
Rv2321c,rocD2
Rv2443,dctA
Rv2491,Rv2491
Rv2576c,Rv2576c
Rv2663,Rv2663
Rv3108,Rv3108
Rv3404c,Rv3404c
Rv3491,Rv3491
Rv1120c,Rv1120c
Rv1245c,Rv1245c
Rv2266,cyp124
Rv2686c,Rv2686c
Rv2866,relG
Rv3760,Rv3760
Rv0105c,rpmB1
Rv0173,lprK
Rv0358,Rv0358
Rv0540,Rv0540
Rv0609,vapC28
Rv1049,Rv1049
Rv1062,Rv1062
Rv1092c,coaA
Rv1137c,Rv1137c
Rv1156,Rv1156
Rv1220c,Rv1220c
Rv1291c,Rv1291c
Rv1359,Rv1359
Rv1525,wbbL2
Rv1732c,Rv1732c
Rv1772,Rv1772
Rv2170,Rv2170
Rv2178c,aroG
Rv2288,Rv2288
Rv2367c,Rv2367c
Rv2509,Rv2509
Rv2593c,ruvA
Rv2617c,Rv2617c
Rv2857c,Rv2857c
Rv2865,relF
Rv3076,Rv3076
Rv3439c,Rv3439c
Rv3448,eccD4
Rv3473c,bpoA
Rv3522,ltp4
Rv3651,Rv3651
Rv3714c,Rv3714c
Rv3907c,pcnA
Rv3917c,parB
Rv0378,Rv0378
Rv1942c,mazF5
Rv2091c,Rv2091c
Rv2557,Rv2557
Rv2802c,Rv2802c
Rv2803,Rv2803
Rv3733c,Rv3733c
Rv0065,vapC1
Rv0068,Rv0068
Rv0177,Rv0177
Rv0255c,cobQ1
Rv0263c,Rv0263c
Rv0449c,Rv0449c
Rv0899,ompA
Rv1256c,cyp130
Rv1273c,Rv1273c
Rv1340,rphA
Rv1363c,Rv1363c
Rv1506c,Rv1506c
Rv1529,fadD24
Rv1723,Rv1723
Rv1915,aceAa
Rv2143,Rv2143
Rv2222c,glnA2
Rv2307c,Rv2307c
Rv2404c,lepA
Rv2607,pdxH
Rv2790c,ltp1
Rv2839c,infB
Rv3100c,smpB
Rv3218,Rv3218
Rv3297,nei
Rv3549c,Rv3549c
Rv3814c,Rv3814c
Rv3853,rraA
Rv0087,hycE
Rv0088,Rv0088
Rv1077,cbs
Rv1261c,Rv1261c
Rv1334,mec
Rv2010,vapC15
Rv2025c,Rv2025c
Rv2536,Rv2536
Rv2863,vapC23
Rv3211,rhlE
Rv3313c,add
Rv3374,echA18.1
Rv3397c,phyA
Rv3874,esxB
Rv3915,Rv3915
Rv2403c,lppR
Rv2627c,Rv2627c
Rv0203,Rv0203
